,监测点,AQI,质量等级,PM2.5浓度(1小时),主要污染物
3,市图书馆,23,优,16,颗粒物（PM10）
4,华坚鞋城,24,优,9,颗粒物（PM10）
0,小平旧居,41,优,5,颗粒物（PM10）
1,市委,43,优,6,颗粒物（PM10）
2,友谊中学,45,优,12,颗粒物（PM10）
3,人工湖,0,优,--,颗粒物（PM10）
4,广电花园,47,优,22,颗粒物（PM10）
5,北辰小学,0,优,8,颗粒物（PM10）
0,广雅中学,25,优,7,颗粒物（PM10）
1,市五中,0,优,8,颗粒物（PM10）
2,天河职幼,0,优,--,颗粒物（PM10）
3,广东商学院,30,优,9,颗粒物（PM10）
4,市八十六中,39,优,9,颗粒物（PM10）
5,番禺中学,28,优,8,颗粒物（PM10）
6,花都师范,41,优,9,颗粒物（PM10）
7,市监测站,29,优,7,颗粒物（PM10）
8,九龙镇镇龙,39,优,10,颗粒物（PM10）
9,麓湖,31,优,13,颗粒物（PM10）
10,帽峰山森林公园,0,优,--,颗粒物（PM10）
11,体育西,27,优,10,颗粒物（PM10）
0,电子科大尧山校区,0,优,12,颗粒物（PM10）
1,监测站,22,优,15,颗粒物（PM10）
2,龙隐路小学,22,优,14,颗粒物（PM10）
3,八中,21,优,10,颗粒物（PM10）
0,马鞍山,0,优,23,颗粒物（PM10）
1,市环保站,49,优,18,颗粒物（PM10）
2,太慈桥,0,优,19,颗粒物（PM10）
3,桐木岭,35,优,23,颗粒物（PM10）
4,燕子冲,46,优,32,颗粒物（PM10）
5,碧云窝,42,优,14,颗粒物（PM10）
6,中院村,33,优,23,颗粒物（PM10）
7,红边门,45,优,30,颗粒物（PM10）
8,新华路,38,优,24,颗粒物（PM10）
9,鉴湖路,46,优,21,颗粒物（PM10）
0,岭北,18,优,3,颗粒物（PM10）
1,松北商大,23,优,16,颗粒物（PM10）
2,阿城会宁,48,优,8,颗粒物（PM10）
3,南岗学府路,22,优,8,颗粒物（PM10）
4,太平宏伟公园,23,优,11,颗粒物（PM10）
5,道外承德广场,24,优,10,颗粒物（PM10）
6,香坊红旗大街,24,优,10,颗粒物（PM10）
7,动力和平路,0,优,21,颗粒物（PM10）
8,道里建国路,0,优,--,颗粒物（PM10）
9,平房东轻厂,32,优,10,颗粒物（PM10）
10,呼兰师专,28,优,8,颗粒物（PM10）
11,省农科院,21,优,10,颗粒物（PM10）
12,岭北(对照点),27,优,8,颗粒物（PM10）
13,市委党校,0,优,--,颗粒物（PM10）
0,锦纶小区,130,轻度污染,13,颗粒物（PM10）
1,榆次液压件厂,0,优,--,颗粒物（PM10）
2,南都小区,132,轻度污染,15,颗粒物（PM10）
3,榆次区政府,123,轻度污染,16,颗粒物（PM10）
4,榆次三中,127,轻度污染,17,颗粒物（PM10）
0,佳纺,14,优,8,颗粒物（PM10）
1,发电厂,12,优,4,颗粒物（PM10）
2,环保局,14,优,8,颗粒物（PM10）
3,十一中,12,优,3,颗粒物（PM10）
4,四丰,12,优,8,颗粒物（PM10）
0,环保局,149,轻度污染,47,颗粒物（PM10）
1,东污水处理厂,146,轻度污染,40,颗粒物（PM10）
2,矿院,145,轻度污染,61,颗粒物（PM10）
3,丛台公园,139,轻度污染,63,颗粒物（PM10）
0,清河小学,33,优,12,颗粒物（PM10）
1,嘉兴学院,29,优,20,颗粒物（PM10）
2,监测站,0,优,--,颗粒物（PM10）
3,南湖区残联,0,优,10,颗粒物（PM10）
0,四中,0,优,--,颗粒物（PM10）
1,十五中,16,优,7,颗粒物（PM10）
2,监测站,16,优,10,颗粒物（PM10）
3,武警支队,0,优,14,颗粒物（PM10）
0,南山,36,优,5,颗粒物（PM10）
1,开发区,0,优,33,颗粒物（PM10）
2,北湖公园,30,优,4,颗粒物（PM10）
3,百股街道,33,优,5,颗粒物（PM10）
4,天安街道,32,优,8,颗粒物（PM10）
0,科干所,166,中度污染,50,颗粒物（PM10）
1,农科所,151,中度污染,34,颗粒物（PM10）
2,开发区,142,轻度污染,43,颗粒物（PM10）
3,济南化工厂,0,优,--,颗粒物（PM10）
4,省种子仓库,162,中度污染,55,颗粒物（PM10）
5,机床二厂,167,中度污染,48,颗粒物（PM10）
6,市监测站,169,中度污染,49,颗粒物（PM10）
7,长清党校,179,中度污染,64,颗粒物（PM10）
8,技术学院,126,轻度污染,24,颗粒物（PM10）
9,泰兴公司,0,优,--,颗粒物（PM10）
10,莱芜战役纪念馆,105,轻度污染,41,颗粒物（PM10）
11,泰兴公司(启用170519),163,中度污染,124,颗粒物（PM10）
12,莱芜战役纪念馆(启用170603),169,中度污染,128,颗粒物（PM10）
13,济南四建(启用200106),185,中度污染,139,颗粒物（PM10）
14,济南四建,153,中度污染,49,颗粒物（PM10）
0,科干所,166,中度污染,50,颗粒物（PM10）
1,农科所,151,中度污染,34,颗粒物（PM10）
2,开发区,142,轻度污染,43,颗粒物（PM10）
3,济南化工厂,0,优,--,颗粒物（PM10）
4,省种子仓库,162,中度污染,55,颗粒物（PM10）
5,机床二厂,167,中度污染,48,颗粒物（PM10）
6,市监测站,169,中度污染,49,颗粒物（PM10）
7,长清党校,179,中度污染,64,颗粒物（PM10）
8,技术学院,126,轻度污染,24,颗粒物（PM10）
9,泰兴公司,0,优,--,颗粒物（PM10）
10,莱芜战役纪念馆,105,轻度污染,41,颗粒物（PM10）
11,泰兴公司(启用170519),163,中度污染,124,颗粒物（PM10）
12,莱芜战役纪念馆(启用170603),169,中度污染,128,颗粒物（PM10）
13,济南四建(启用200106),185,中度污染,139,颗粒物（PM10）
